State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.03352	3.93760	3.85607	3.60187	3.47718	3.35727	3.09828	2.88725	2.74817	2.71460	2.82970	2.86327	2.99277	2.94960	3.01675	3.04553	2.95920	2.96879	2.96399	2.88246	2.83929
2	1.93315	1.87985	1.82656	1.77811	1.78295	1.75873	1.78295	1.86290	1.87743	1.78053	1.67152	1.61096	1.55524	1.56251	1.61580	1.74177	1.75631	1.77326	1.74177	1.76600	1.76357
3	1.26554	1.27043	1.34020	1.34387	1.32918	1.35243	1.41975	1.45402	1.46748	1.50053	1.49686	1.51644	1.48951	1.55316	1.57396	1.60701	1.66454	1.64128	1.66331	1.65352	1.70615
4	2.68448	2.66796	2.68172	2.70650	2.72578	2.79186	2.88822	2.98459	3.09197	3.09472	2.99835	2.91576	2.75882	2.75606	2.59362	2.50827	2.60463	2.54957	2.51102	2.41190	2.34857
5	0.56696	0.56250	0.53689	0.53020	0.53800	0.48342	0.42438	0.43330	0.42438	0.44889	0.46226	0.49233	0.53577	0.49901	0.51795	0.51795	0.51461	0.52686	0.54580	0.58701	0.60595
6	2.86886	2.86886	2.86153	2.80136	2.78229	2.82044	2.88060	2.86740	2.84832	2.70451	2.53135	2.55190	2.40515	2.39341	2.36406	2.35819	2.28042	2.26281	2.22319	2.17036	2.14541
7	3.97886	3.99677	4.02660	4.06688	4.07086	4.07981	4.05744	4.02660	3.99328	3.96991	3.94107	3.85305	3.81326	3.72077	3.65662	3.55169	3.44974	3.35774	3.26077	3.18717	3.11407
8	0.57081	0.56989	0.56725	0.56720	0.56808	0.56803	0.56586	0.56560	0.56844	0.57567	0.58908	0.59775	0.61076	0.62227	0.62903	0.63894	0.65019	0.66288	0.67392	0.68342	0.69162
9	0.86290	0.86422	0.86818	0.87294	0.87162	0.87162	0.87452	0.87901	0.88086	0.87769	0.86792	0.86132	0.85788	0.85234	0.84758	0.84256	0.83834	0.83226	0.83120	0.82883	0.82936
10	1.55277	1.67370	1.58179	1.63016	1.70272	1.69305	1.89621	1.89137	1.88654	1.95426	1.95426	2.07519	1.96393	1.86719	1.98812	1.93007	1.87686	1.84300	1.86719	1.97845	1.86235
