State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.14766	6.23562	7.65376	10.06673	13.73275	19.26141	25.45893	32.08400	38.95038	44.55100	49.74947	54.01661	53.77531	51.47665	44.29277	32.72746	21.33148	14.05448	9.89740	7.10344	5.38896
2	2.89514	3.16241	3.69055	4.66130	6.22433	8.61485	11.90769	15.00809	15.76074	13.53701	10.73167	10.70815	10.22706	9.26700	8.03967	6.46167	4.76393	3.72048	2.87589	2.35631	2.01206
3	2.66185	2.86062	3.10585	3.39645	3.66436	3.70325	3.46126	2.75691	2.16815	2.68561	3.11881	1.99530	1.67446	1.61612	1.72631	1.93265	2.08929	2.00719	1.92616	1.76952	1.66473
4	5.08642	5.67210	6.07552	6.26507	5.81548	4.65871	3.24919	2.25523	1.84939	1.62095	1.46541	1.58692	1.82752	2.75342	6.07309	11.54834	16.40875	17.90819	17.04061	15.64324	13.73796
5	1.34594	1.27515	1.14144	0.93990	0.75211	0.59383	0.50338	0.47093	0.40408	0.36180	0.30674	0.29986	0.34017	0.37852	0.44734	0.57810	0.89664	1.50325	2.16196	2.67812	3.09793
6	1.37814	1.14370	0.95459	0.76160	0.68259	0.59970	0.57638	0.55825	0.56343	0.60617	0.67741	0.68648	0.67612	0.64762	0.66705	0.70073	0.82377	1.10743	1.58408	2.15399	2.84306
7	0.85681	0.80545	0.74532	0.68957	0.62329	0.57150	0.51707	0.47800	0.46747	0.46396	0.47405	0.48546	0.51005	0.52365	0.54648	0.58686	0.62680	0.70406	0.80282	0.90333	1.00297
8	0.72201	0.70102	0.67778	0.64157	0.58960	0.52506	0.45044	0.38695	0.34964	0.32573	0.31858	0.32313	0.33561	0.35069	0.36804	0.39096	0.41605	0.44174	0.46315	0.48156	0.49363
9	1.11716	1.12159	1.11856	1.10201	1.08033	1.03254	0.96353	0.87517	0.78775	0.73483	0.71641	0.71082	0.74322	0.80850	0.87354	0.93672	0.98894	1.00503	1.02204	1.02438	1.02857
10	1.84020	1.86155	1.72066	1.61818	1.51998	1.43886	1.30223	1.11010	1.19549	1.63099	1.46448	0.99909	0.90516	0.93078	0.95639	0.96066	1.19976	1.28942	1.30223	1.36628	1.27235
