State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.72492	52.34275	7.70285	1.72872	2.83000	49.74676	22.49875	0.19873
2	1.43522	16.42093	2.51838	0.95614	1.67169	10.73200	7.50009	0.52195
3	2.84071	1.81161	1.26003	1.05130	1.49701	3.11891	2.50802	0.42619
4	1.26277	0.90119	2.36301	2.18968	2.99867	1.46546	6.12133	0.13663
5	3.12138	0.19166	0.35644	2.26738	0.46230	0.30675	0.92564	0.20559
6	2.36929	0.67524	3.36118	2.26503	2.53015	0.67743	0.94840	0.12889
7	6.99143	0.84400	4.35000	2.10963	3.94048	0.47407	0.66976	0.31111
8	67.37208	0.24017	0.49454	0.76860	0.58915	0.31859	0.49966	1.08424
9	13.16344	0.52626	0.77874	0.90415	0.86801	0.71643	1.03038	1.58855
10	0.71875	1.38638	1.64180	1.03753	1.95446	1.46452	1.42737	0.89466
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
