State (Emission order)	H3k27me3	CTCF	H2AFZ	H3k04me3	H3k27ac	H3k04me2	H3k04me1	H4k20me1	H3k79me2	H3K36m3
1	0.0028893663739053776	0.1599674392907991	0.5486130948293739	0.9915777013800228	0.9594022043254697	0.8898700172456896	0.25848046401556146	0.0074603798518847195	0.5402682640643985	0.06231812695736359
2	0.13493060406927535	0.16076278487635587	0.6210332254261574	0.790652773691021	0.4915282471452194	0.9723274062889569	0.7767462174914972	0.005715996067615747	0.008337358868740886	0.013951360665319512
3	0.01073245303882774	0.018569092623028905	0.11555222810859879	0.026213337311068945	0.0980543098832035	0.13170994851533624	0.6961649000301764	0.003563913685068872	0.008737540525664389	0.04278379859504316
4	5.503174488350151E-4	0.05009108676749336	0.005875575874336021	0.5189033652361158	0.5319369397339782	0.7815509661359811	0.9334313985415872	0.15858841760280037	0.8874036517360125	0.5187351453760944
5	1.7887383128844858E-4	0.007611270746398633	2.8584849081558592E-5	4.127344740156034E-4	8.001813511235046E-4	0.004331070612658019	0.14220102059250891	0.031230406679678937	0.5425377688882106	0.03828722321903194
6	2.6487268369929936E-4	0.025431311174869815	3.349340906723162E-5	0.006972661407337141	0.011348185881294682	0.01117000040470676	0.24856174442626142	0.16407216871395883	0.8732252243141426	0.9287992944187479
7	2.634444695707714E-4	0.01125870795160046	1.5491529249351898E-4	0.004329508974739075	7.77797177671671E-4	9.18124254550541E-5	0.015991583455059043	0.01253320567397346	0.03268412065934717	0.5599019417559294
8	0.010559269531759518	0.0010637566029060867	0.004559372735086935	5.924047097544861E-4	6.316432304628112E-10	1.2333243886023163E-4	0.001480146147452489	0.001176958345626055	4.5282164325736085E-4	0.002015517474240379
9	0.5493535382381349	0.003898807554056492	0.006699312743366266	5.750858523427074E-4	1.8778858986761243E-5	0.0026350797661160302	0.0037171528820528145	0.004734127123816592	3.118048168677832E-5	2.4386333276601004E-4
10	0.09850865006218652	0.9470733072579327	0.06290364358175046	0.016573192650591078	0.002072772715891665	0.062321435300258014	0.15056966108786438	0.01894551412635046	0.0027245354129732456	0.033374569305147476
